customer_id,name,date_of_birth,address,contact_info,customer_since
1,Stacy Wolf,1982-07-08,"PSC 6524, Box 0591, APO AE 93975",(846)604-1937x823,2006-10-10
2,Mr. David Stewart,1960-03-03,"PSC 6453, Box 7015, APO AA 93928",+1-613-344-8564x35658,2021-10-25
3,Sarah Foster,1966-07-11,"16622 Solomon Parkway Suite 899, North Christine, WV 46761",340.843.3916x5002,2017-04-10
4,Roberto Combs,1998-05-14,"83353 Harris Isle, Rosarioland, PW 89604",881.924.5577x122,2011-12-24
5,Justin Stevens,1941-12-23,"95729 Patrick View, Maryhaven, DC 76734",001-901-919-1617,2007-09-16
6,Wesley Malone,1992-11-24,"758 Aaron Vista, Lake Beverly, PA 89687",798-829-2424x6722,2009-11-18
7,Katrina Fisher,2005-10-02,"6373 Megan Street, East Eric, RI 78101",+1-373-359-6402x8324,2011-09-27
8,Chad Vance,2002-11-28,"49417 Logan Prairie Suite 758, Lake Mark, PR 85338",(509)637-0755,2009-07-14
9,Isaac Martin,1962-06-18,"6709 Lowe Summit, Taylormouth, DC 34417",421.729.2210x220,2020-11-27
10,Christine Cooper,1941-05-06,"81386 Nathaniel Crest, West Alex, CA 26238",+1-509-450-9935x433,2010-10-05
11,Amanda Valdez,1942-06-27,"72914 Jennifer Manor Apt. 887, East Melanie, ID 75937",934-773-0154x7330,2005-01-16
12,Angel Watson,1988-01-03,"Unit 9830 Box 1431, DPO AA 84665",5619358879,2015-08-08
13,Matthew Harper,1952-07-26,"57087 Nicholas Shores Suite 272, Beckbury, SD 49712",266-604-5266x3180,2006-09-02
14,Michael Nguyen,1960-11-06,"86610 John Overpass, East Madison, VI 63593",3963988187,2005-02-05
15,Caroline Boyd,1975-03-21,"2767 Friedman Crossroad, Jamesfurt, MP 92234",+1-629-593-3866x8883,2020-12-31
16,Anthony Fletcher,1946-06-04,"98419 Perez Light, East Lawrenceside, PR 93776",001-817-779-5719x1550,2013-09-21
17,Kenneth Newman,1986-03-22,"592 Katherine Extensions Suite 275, East Danielmouth, GA 17515",5419274175,2017-05-26
18,Laurie Gonzalez,2004-10-30,"7519 Joseph Knolls Apt. 165, West Linda, NY 74595",001-490-252-3896x8991,2006-06-27
19,Heather Black,1999-05-08,"1039 Leah Village, Lake Keith, VA 95872",(835)629-6079,2006-09-08
20,Christina Allen,2006-04-13,"6484 Baker Expressway Apt. 582, Codyberg, FM 09451",+1-982-865-7279x9361,2023-04-06
21,Darren King,1938-03-04,"4431 Carter Spur Suite 438, West David, TX 32194",+1-505-333-2310x64292,2004-09-29
22,Elaine Chambers,1949-01-16,"824 Micheal Dale, West Brenda, MH 91226",552-663-5510,2021-10-09
23,Jill Davies,1997-12-29,"88346 Todd Run Apt. 997, Austinshire, KS 39544",(514)361-6387x872,2016-05-31
24,Andrea Salazar,1993-03-25,"00157 Evans Locks Suite 012, East Curtis, AZ 08551",591.414.1820,2008-05-22
25,Allison Wheeler,1973-09-30,"772 Williams Place, Lewiston, FM 25016",212-547-0641,2006-11-11
26,Sandra Hernandez,2005-03-12,"097 Graham Parkway, West John, LA 35359",240-630-9945x3983,2014-02-16
27,Robert Casey,1960-09-20,"562 Banks Court Suite 100, Andersonfurt, MS 57004",+1-258-278-8379x4952,2009-06-21
28,Gabriel Melton,1993-05-25,"64335 Melanie Loaf Apt. 975, Lake Nicole, ID 44758",(771)561-6744x82901,2020-02-28
29,Megan Contreras,1950-04-19,"7315 Russell Drives, East Joseph, GA 62517",(689)476-4850,2013-12-28
30,Richard Lawson,1933-11-26,"682 Carr Crossroad, Lake Anthony, GA 45940",(510)269-1858x0079,2024-08-09
31,Jennifer Smith,1935-10-15,"97721 Baker Cape Suite 548, Prestonborough, PA 85582",+1-458-711-8621x67158,2006-01-07
32,John Keller,1981-07-05,"9089 Mitchell Grove, East Stephanie, MH 21981",(685)779-4658,2024-05-14
33,Michelle Butler,1988-07-05,"9041 Beverly Prairie, Jenniferview, PA 96185",926.922.9591,2011-09-30
34,Kevin Cross,1948-03-04,"475 Catherine Mountain, Lake Jenniferstad, RI 95576",4343475324,2014-06-12
35,Richard Thompson,1971-10-27,"47652 Ruiz Curve, West Dawnhaven, MI 23130",432.577.1192,2009-06-28
36,Patricia Martin,1973-12-29,"09604 Richard Parkways Suite 522, East Michellebury, AK 82274",(493)256-6899,2014-02-20
37,Diane Spence,1942-09-03,"PSC 7109, Box 2899, APO AE 39946",623-207-7889x02569,2007-10-30
38,Joseph Foster,1991-07-09,"052 Thompson Inlet Apt. 469, Port Joseph, WI 49023",962-951-4623x3580,2007-02-11
39,Kevin Edwards,1961-11-02,"9082 Taylor Highway Apt. 450, South Reginaldbury, PR 31027",4837669982,2005-05-17
40,Scott Oneill,2002-04-11,"55524 Nicole Falls, Elizabethhaven, NC 64438",001-563-490-4758x50019,2008-11-13
41,Mark Taylor,1957-04-28,"8118 Kimberly Ferry Suite 931, East Jenniferburgh, OK 50316",(592)532-0941,2014-11-14
42,Tonya Frederick,1958-12-19,"103 Craig Terrace, Virginiabury, MI 52440",721-838-0327x7480,2009-05-29
43,Donna Miller,1946-06-08,"632 Williams Divide Suite 573, Monicahaven, MN 06538",6884682323,2016-07-26
44,Lori Maddox,1971-08-12,"0958 Christopher Ranch Apt. 378, Brownville, MN 22430",320-414-9155x8775,2009-08-26
45,Michael Ryan,1970-03-05,"57630 Snyder Dam, West Brianna, AK 79208",001-392-543-5181x9605,2021-12-16
46,Dr. Antonio Sawyer DDS,1937-08-28,"0373 Rebecca Vista, Brianborough, CA 70200",(832)405-4081,2005-02-23
47,Nicholas Allison,1948-04-03,"5209 Michael Skyway, Thomasside, MA 00850",348-909-9668x454,2007-11-14
48,Donna Allen,1975-05-04,"021 Michelle Hill Suite 449, Port Williamchester, NM 16980",624-494-8618,2008-07-02
49,Mark Lane,1946-05-10,"935 Alvarado Wells, Lake Arthurton, GA 18631",204.341.2249,2011-03-04
50,Jennifer Williamson,1956-01-19,"124 Taylor Points, East Derrickchester, SC 45560",001-591-592-8429x823,2005-01-30
51,Sara Cross,1963-04-29,"916 Gregory Land Apt. 428, North Jodymouth, SC 57023",3589307385,2020-06-15
52,Jeffery Johnson,1976-07-20,"466 Todd Common Apt. 066, North Michael, NY 43835",+1-761-403-6911x2917,2017-10-19
53,Tiffany Clark,1956-04-03,"27361 Travis Glen, East Markside, NV 90498",722.535.4812x5294,2004-09-22
54,Donald Martin,1979-10-01,"75371 Bruce Vista, Palmerside, PW 62565",001-414-592-5670x940,2016-09-13
55,Troy Thomas,1951-06-24,"32951 Gutierrez Tunnel Suite 722, Reedberg, AL 95898",534-563-4429,2005-03-24
56,Brian Hayes,1937-04-07,"14497 Fernando Crest, Downsstad, LA 91327",+1-843-570-9129x895,2021-10-11
57,David Cruz,1967-06-28,"430 Haley Valley, Burnsside, CT 90291",(943)559-2559x717,2018-09-04
